Time,RRI,HR
12724,911.985984848485,65.7904847188723
12724.5,911.54090909091,65.8226080712479
12725,911.095833333334,65.8547628085226
12725.5,910.650757575758,65.8869489767141
12726,910.205681818182,65.9191666219298
12726.5,909.760606060607,65.9514157903677
12727,909.315530303031,65.9836965283161
12727.5,908.870454545455,66.0160088821539
12728,908.425378787879,66.048352898351
12728.5,907.980303030304,66.0807286234683
12729,907.535227272728,66.1131361041582
12729.5,907.090151515152,66.1455753871645
12730,906.645075757576,66.178046519323
12730.5,906.200000000001,66.2105495475612
12731,905.754924242425,66.2430845188991
12731.5,905.309848484849,66.2756514804491
12732,904.864772727273,66.3082504794161
12732.5,904.419696969697,66.3408815630983
12733,903.974621212122,66.3735447788868
12733.5,903.529545454546,66.406240174266
12734,903.08446969697,66.4389677968142
12734.5,902.639393939394,66.4717276942032
12735,902.194318181819,66.5045199141991
12735.5,901.749242424243,66.5373445046622
12736,901.304166666667,66.5702015135474
12736.5,900.859090909091,66.6030909889045
12737,900.414015151516,66.6360129788779
12737.5,899.96893939394,66.6689675317077
12738,899.523863636364,66.7019546957291
12738.5,899.078787878788,66.7349745193733
12739,898.633712121213,66.7680270511673
12739.5,898.188636363637,66.8011123397342
12740,897.743560606061,66.8342304337938
12740.5,897.298484848485,66.8673813821622
12741,896.85340909091,66.9005652337528
12741.5,896.408333333334,66.9337820375758
12742,895.963257575758,66.9670318427391
12742.5,895.518181818182,67.0003146984478
12743,895.073106060607,67.0336306540053
12743.5,894.628030303031,67.0669797588129
12744,894.182954545455,67.1003620623703
12744.5,893.737878787879,67.1337776142757
12745,893.292803030304,67.1672264642264
12745.5,892.847727272728,67.2007086620186
12746,892.402651515152,67.2342242575478
12746.5,891.957575757576,67.2677733008092
12747,891.512500000001,67.3013558418979
12747.5,891.067424242425,67.3349719310088
12748,890.622348484849,67.3686216184375
12748.5,890.177272727273,67.40230495458
12749,889.732196969697,67.4360219899331
12749.5,889.287121212122,67.4697727750948
12750,888.842045454546,67.5035573607643
12750.5,888.39696969697,67.5373757977426
12751,887.951893939394,67.5712281369324
12751.5,887.506818181819,67.6051144293385
12752,887.061742424243,67.6390347260683
12752.5,886.616666666667,67.6729890783315
12753,886.171590909091,67.7069775374408
12753.5,885.726515151516,67.7410001548121
12754,885.28143939394,67.7750569819647
12754.5,884.836363636364,67.8091480705215
12755,884.391287878788,67.8432734722093
12755.5,883.946212121213,67.8774332388591
12756,883.501136363637,67.9116274224064
12756.5,883.056060606061,67.9458560748914
12757,882.610984848485,67.9801192484592
12757.5,882.165909090909,68.0144169953601
12758,881.720833333334,68.04874936795
12758.5,881.275757575758,68.0831164186905
12759,880.830681818182,68.1175182001494
12759.5,880.385606060606,68.1519547650005
12760,879.940530303031,68.1864261660245
12760.5,879.495454545455,68.2209324561086
12761,879.050378787879,68.2554736882474
12761.5,878.605303030303,68.2900499155428
12762,878.160227272728,68.3246611912042
12762.5,877.900890437476,68.3448446784247
12763,877.746031746032,68.3569026004557
12763.5,877.591173054588,68.3689647779398
12764,877.436314363144,68.3810312131301
12764.5,877.2814556717,68.3931019082814
12765,877.126596980255,68.4051768656499
12765.5,876.971738288812,68.4172560874936
12766,876.816879597367,68.4293395760719
12766.5,876.662020905923,68.441427333646
12767,876.507162214479,68.4535193624785
12767.5,876.352303523035,68.4656156648339
12768,876.197444831591,68.4777162429779
12768.5,876.042586140147,68.4898210991781
12769,875.887727448703,68.5019302357036
12769.5,875.732868757259,68.514043654825
12770,875.578010065815,68.5261613588148
12770.5,875.423151374371,68.5382833499468
12771,875.268292682927,68.5504096304966
12771.5,875.113433991483,68.5625402027412
12772,874.958575300039,68.5746750689596
12772.5,874.803716608595,68.586814231432
12773,874.648857917151,68.5989576924405
12773.5,874.493999225707,68.6111054542685
12774,874.339140534263,68.6232575192015
12774.5,874.184281842819,68.6354138895261
12775,874.029423151374,68.6475745675309
12775.5,873.87456445993,68.659739555506
12776,873.719705768486,68.6719088557429
12776.5,873.564847077042,68.6840824705352
12777,873.409988385598,68.6962604021776
12777.5,873.255129694154,68.7084426529669
12778,873.10027100271,68.7206292252013
12778.5,872.945412311266,68.7328201211805
12779,872.790553619822,68.7450153432061
12779.5,872.635694928378,68.7572148935811
12780,872.480836236934,68.7694187746104
12780.5,872.32597754549,68.7816269886003
12781,872.171118854046,68.7938395378588
12781.5,872.016260162602,68.8060564246956
12782,871.861401471158,68.818277651422
12782.5,871.706542779714,68.8305032203509
12783,871.551684088269,68.8427331337969
12783.5,871.396825396826,68.8549673940763
12784,871.241966705381,68.8672060035069
12784.5,871.087108013937,68.8794489644083
12785,870.932249322493,68.8916962791016
12785.5,870.777390631049,68.9039479499097
12786,870.622531939605,68.9162039791571
12786.5,870.467673248161,68.9284643691698
12787,870.312814556717,68.9407291222757
12787.5,870.157955865273,68.9529982408042
12788,870.003097173829,68.9652717270866
12788.5,869.848238482385,68.9775495834554
12789,869.693379790941,68.9898318122451
12789.5,869.538521099497,69.0021184157919
12790,869.383662408053,69.0144093964334
12790.5,869.228803716609,69.0267047565092
12791,869.073945025165,69.0390044983602
12791.5,868.919086333721,69.0513086243293
12792,868.764227642276,69.0636171367609
12792.5,868.609368950833,69.0759300380011
12793,868.454510259388,69.0882473303977
12793.5,868.299651567944,69.1005690163
12794,868.1447928765,69.1128950980593
12794.5,867.989934185056,69.1252255780284
12795,867.835075493612,69.1375604585616
12795.5,867.680216802168,69.1498997420153
12796,867.525358110724,69.1622434307472
12796.5,867.37049941928,69.1745915271168
12797,867.215640727836,69.1869440334854
12797.5,867.060782036392,69.1993009522159
12798,866.905923344948,69.211662285673
12798.5,866.751064653504,69.2240280362227
12799,866.59620596206,69.2363982062331
12799.5,866.441347270616,69.248772798074
12800,866.286488579172,69.2611518141166
12800.5,866.131629887728,69.273535256734
12801,865.976771196283,69.285923128301
12801.5,865.821912504839,69.298315431194
12802,865.667053813395,69.3107121677911
12802.5,865.512195121951,69.3231133404723
12803,865.357336430507,69.335518951619
12803.5,865.202477739063,69.3479290036146
12804,865.047619047619,69.360343498844
12804.5,864.892760356175,69.3727624396939
12805,864.737901664731,69.3851858285526
12805.5,864.583042973287,69.3976136678103
12806,864.428184281843,69.4100459598588
12806.5,864.273325590399,69.4224827070916
12807,864.118466898955,69.4349239119039
12807.5,863.963608207511,69.4473695766928
12808,863.808749516067,69.4598197038568
12808.5,863.653890824623,69.4722742957964
12809,863.499032133179,69.4847333549137
12809.5,863.344173441734,69.4971968836126
12810,863.18931475029,69.5096648842986
12810.5,863.034456058846,69.5221373593789
12811,862.879597367402,69.5346143112627
12811.5,862.724738675958,69.5470957423607
12812,862.569879984514,69.5595816550854
12812.5,862.41502129307,69.5720720518509
12813,862.260162601626,69.5845669350733
12813.5,862.105303910182,69.5970663071701
12814,862.083989501312,69.5987870447612
12814.5,862.346456692913,69.5776036815866
12815,862.608923884514,69.5564332093935
12815.5,862.871391076115,69.5352756164184
12816,863.133858267717,69.5141308909121
12816.5,863.396325459317,69.4929990211397
12817,863.658792650919,69.4718799953807
12817.5,863.92125984252,69.4507738019286
12818,864.183727034121,69.4296804290912
12818.5,864.446194225722,69.4085998651907
12819,864.708661417323,69.3875320985631
12819.5,864.971128608924,69.3664771175589
12820,865.233595800525,69.3454349105426
12820.5,865.496062992126,69.3244054658928
12821,865.758530183727,69.3033887720022
12821.5,866.020997375328,69.2823848172776
12822,866.283464566929,69.2613935901398
12822.5,866.54593175853,69.2404150790237
12823,866.808398950131,69.2194492723782
12823.5,867.070866141732,69.1984961586662
12824,867.333333333333,69.1775557263643
12824.5,867.595800524934,69.1566279639635
12825,867.858267716535,69.1357128599685
12825.5,868.120734908136,69.1148104028976
12826,868.383202099737,69.0939205812836
12826.5,868.645669291338,69.0730433836727
